artist_name,listeners,playcount,plays_per_listener,breakout,log_listeners,log_playcount,total_views,avg_views_per_day,max_views_per_day,total_likes,total_comments,video_count,engagement_rate,log_total_views,log_avg_vpd,headline_count,sentiment_score,avg_sentiment_confidence
Chappell Roan,2610451,343582587,131.62,1,14.775033944381565,19.654938071586617,5598359.0,8632.27,15115.3,234955.0,6795.0,10.0,0.0432,15.537984255671493,9.063378623085276,19.0,0.632,0.9618694437177556
Sabrina Carpenter,3303915,686868843,207.9,1,15.010618989571004,20.347653920752606,82171663.0,143610.20500000002,465804.05,1510382.0,43017.0,10.0,0.0189,18.224321080402095,11.874864961800048,19.0,0.789,0.9247085640304968
Doechii,2076091,99306723,47.83,1,14.545997838278284,18.4137238407209,33578483.0,75045.05500000001,501139.56,892467.0,34875.0,10.0,0.0276,17.32939606267437,11.225857270723326,20.0,0.6,0.994984832406044
Benson Boone,1516655,47061349,31.03,0,14.23201846926726,17.666962627634863,22087495.0,55164.795,277949.05,244476.0,4154.0,10.0,0.0113,16.910522214512167,10.918098384402084,20.0,0.9,0.9798812359571456
Gracie Abrams,1850638,297146710,160.56,1,14.431041542821198,19.509736551231757,7868470.0,32080.675,155024.29,177016.0,5757.0,10.0,0.0232,15.878374319434513,10.376040273834345,18.0,0.778,0.9611745410495334
Teddy Swims,1190105,22165171,18.62,0,13.989552936750966,16.914032786113136,18272788.0,58150.899,209436.92,215353.0,5781.0,10.0,0.0121,16.720923571328726,10.970813814335338,20.0,0.85,0.9714504390954972
Noah Kahan,1641944,202306732,123.21,1,14.31139207269661,19.12529558383821,20346690.0,38108.293,59734.4,299805.0,5775.0,10.0,0.015,16.82842885220874,10.548213442134553,20.0,0.75,0.9561248779296876
Rema,993495,21242269,21.38,0,13.808985314795798,16.871503622450387,13107140.0,33166.687,167417.59,171857.0,6368.0,10.0,0.0136,16.388667754154255,10.409331397824474,17.0,0.824,0.9654886582318474
Ice Spice,1519698,50482472,33.22,0,14.23402284689687,17.737136764696167,22061835.0,35341.703,144403.73,457483.0,7619.0,10.0,0.0211,16.909359795887607,10.472847228517576,19.0,0.316,0.9690239868665996
Tyla,1535332,54417409,35.44,0,14.244257853586515,17.812194697390034,42598087.0,83664.639,358648.22,762886.0,26098.0,10.0,0.0185,17.567319927603236,11.33458364650185,17.0,0.882,0.9885335354244008
Tinashe,1650199,86258821,52.27,1,14.31640705065238,18.272862892703056,615075.0,16659.260000000002,126447.0,28171.0,1813.0,10.0,0.0487,13.32950111638939,9.720781521841555,19.0,0.632,0.9655049192278008
Clairo,2974508,360462505,121.18,1,14.905589541324128,19.702898503732477,3770417.0,6991.847,21785.35,66746.0,526.0,10.0,0.0178,15.142696428609543,8.852643048442639,19.0,0.789,0.9380834384968406
FKA twigs,1698503,158516685,93.33,1,14.345258421599137,18.881370420188592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethel Cain,1309978,161890182,123.58,0,14.085521664514493,18.902428780614233,646641.0,1164.396,8871.25,14929.0,695.0,10.0,0.0242,13.379548097313991,7.06081622240516,19.0,0.579,0.9868804592835276
Olivia Rodrigo,3181490,587943763,184.8,1,14.972860512796668,20.192141861833374,89744099.0,269037.767,830240.0,2541079.0,95558.0,10.0,0.0294,18.312472845010255,12.502610763442007,19.0,0.526,0.9437116196281032
Billie Eilish,4284559,851310773,198.69,1,15.270528420961046,20.562287806712177,91854376.0,159365.88700000002,524573.14,861211.0,10082.0,10.0,0.0095,18.335715022273344,11.97896428850108,20.0,0.55,0.9775644093751908
Doja Cat,3689082,478329066,129.66,1,15.120888475648016,19.985809478286345,48598352.0,145882.86500000002,501139.56,1020236.0,33769.0,10.0,0.0217,17.699100199407592,11.890566138950588,18.0,0.222,0.9756955669985876
Lil Nas X,2704918,117348051,43.38,1,14.810582525267238,18.58065488020874,16278310.0,43946.456,345779.9,183293.0,4527.0,10.0,0.0115,16.605344166227837,10.690750017478937,13.0,0.538,0.9697515185062702
Roddy Ricch,1559070,50263114,32.24,0,14.259600689017018,17.732782065875057,4893443.0,8326.715,32124.78,82481.0,1314.0,10.0,0.0171,15.403406908030615,9.027344387807204,2.0,0.5,0.9956819415092468
