artist_name,listeners,playcount,plays_per_listener,similar_artists,tags,lastfm_url,fetched_at,breakout
Chappell Roan,2610451,343582587,131.62,"Olivia Rodrigo, Sabrina Carpenter, Lorde, Reneé Rapp, Taylor Swift","pop, indie pop, synthpop, queer, electropop",https://www.last.fm/music/Chappell+Roan,2026-06-08T02:33:38.784120,1
Sabrina Carpenter,3303915,686868843,207.9,"Olivia Rodrigo, Taylor Swift, Madison Beer, Ariana Grande, Tate McRae","pop, female vocalists, rnb, american, my top songs",https://www.last.fm/music/Sabrina+Carpenter,2026-06-08T02:33:39.659101,1
Doechii,2076091,99306723,47.83,"Iamdoechii, Megan Thee Stallion, SZA, Doja Cat, Flo Milli","rap, hip hop, rnb, Hip-Hop, pop rap",https://www.last.fm/music/Doechii,2026-06-08T02:33:40.247090,1
Benson Boone,1516655,47061349,31.03,"Alex Warren, Matt Hansen, Daniel Seavey, Damiano David, Lewis Capaldi","pop, pop rock, rock, my top songs, singer-songwriter",https://www.last.fm/music/Benson+Boone,2026-06-08T02:33:40.797554,0
Gracie Abrams,1850638,297146710,160.56,"Alessi Rose, Maisie Peters, Lexi Jayde, Sadie Jean, Devon Gabriella","pop, indie pop, my top songs, singer-songwriter, female vocalists",https://www.last.fm/music/Gracie+Abrams,2026-06-08T02:33:41.375491,1
Teddy Swims,1190105,22165171,18.62,"Victor Ray, Rag'n'Bone Man, JP Cooper, GoldFord, Lewis Capaldi","soul, singer-songwriter, pop, rnb, Neo-Soul",https://www.last.fm/music/Teddy+Swims,2026-06-08T02:33:41.969901,0
Noah Kahan,1641944,202306732,123.21,"Brenn!, Michael Marcagi, Mumford & Sons, Hozier, Chance Peña","indie, folk, singer-songwriter, acoustic, indie folk",https://www.last.fm/music/Noah+Kahan,2026-06-08T02:33:42.521059,1
Rema,993495,21242269,21.38,"Asake, Wizkid, Victony, Davido, Omah Lay","afrobeats, trap, nigerian, pop, afrobeat",https://www.last.fm/music/Rema,2026-06-08T02:33:43.069888,0
Ice Spice,1519698,50482472,33.22,"JT, Latto, Nicki Minaj, City Girls, Coi Leray","rap, drill, Hip-Hop, trap, mother",https://www.last.fm/music/Ice+Spice,2026-06-08T02:33:43.796304,0
Tyla,1535332,54417409,35.44,"FLO, Normani, Summer Walker, Chlöe, Jae Stephens","rnb, pop, south africa, amapiano, afrobeat",https://www.last.fm/music/Tyla,2026-06-08T02:33:44.437873,0
Tinashe,1650199,86258821,52.27,"Normani, Kelela, Victoria Monét, Chlöe, Jae Stephens","rnb, pop, soul, Hip-Hop, british",https://www.last.fm/music/Tinashe,2026-06-08T02:33:45.114200,1
Clairo,2974508,360462505,121.18,"Shelly, beabadoobee, Faye Webster, The Marías, Phoebe Bridgers","bedroom pop, indie pop, dream pop, Lo-Fi, pop",https://www.last.fm/music/Clairo,2026-06-08T02:33:46.328526,1
